HAtred	HAtred	n1	HAtred	hatred	0
and	and	cc	and	and	0
scorn	scorn	n1	scorn	scorn	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
portion	portion	n1	portion	portion	0
of	of	pp-f	of	of	0
Godliness	Godliness	n1	Godliness	godliness	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
;	;	;	;	;	0
wicked	wicked	j	wicked	wicked	0
men	men	n2	men	man	0
will	will	vmb	will	will	0
bestow	bestow	vvi	bestow	bestow	0
no	no	dx	no	no	0
better	better	jc	better	better	0
thing	thing	n1	thing	thing	0
upon	upon	p-acp	upon	upon	0
her	her	pno31	her	she	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
all	all	d	all	all	0
Ages	Ages	n2	Ages	age	0
,	,	,	,	,	0
hatred	hatred	n1	hatred	hatred	0
,	,	,	,	,	0
scoffs	scoffs	n2	scoffs	scoff	0
,	,	,	,	,	0
persecutions	persecutions	n2	persecutions	persecution	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
ill	ill	j-jn	ill	ill	0
Genii	Genii	fw-la	Genii	genii	0
of	of	pp-f	of	of	0
Godliness	Godliness	n1	Godliness	godliness	0
:	:	:	:	:	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
Calvins	Calvins	np1	Calvins	Calvins	0
speech	speech	n1	speech	speech	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
Odium	Odium	np1	Odium	Odium	0
est	est	fw-fr	est	est	0
Evangelii	Evangelii	np1	Evangelii	Evangelii	0
Genius	Genius	n1	Genius	genius	0
;	;	;	;	;	0
Malice	Malice	n1	Malice	malice	0
and	and	cc	and	and	0
persecution	persecution	n1	persecution	persecution	0
stand	stand	vvb	stand	stand	0
by	by	p-acp	by	by	0
Godly	Godly	j	Godly	godly	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Dragon	Dragon	n1	Dragon	dragon	0
stood	stood	vvd	stood	stand	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Woman	Woman	n1	Woman	woman	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Child	Child	n1	Child	child	0
as	as	c-acp	as	as	0
soon	soon	av	soon	soon	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
born	born	vvn	born	bear	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
12.	12.	crd	12.	12.	0
so	so	av	so	so	0
Malice	Malice	n1	Malice	malice	0
stands	stands	vvz	stands	stand	0
by	by	p-acp	by	by	0
Godly	Godly	j	Godly	godly	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
soon	soon	av	soon	soon	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
adopted	adopted	vvn	adopted	adopt	0
and	and	cc	and	and	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Sons	Sons	n2	Sons	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
Pharaoh	Pharaoh	np1	Pharaoh	Pharaoh	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
manded	manded	vvd	manded	mand	0
the	the	dt	the	the	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
Midwives	Midwives	n2	Midwives	midwife	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
the	the	dt	the	the	0
male	male	j-jn	male	male	0
Children	Children	n2	Children	child	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hebrews	Hebrews	njp2	Hebrews	hebrew	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
soon	soon	av	soon	soon	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
forth	forth	av	forth	forth	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Womb	Womb	n1	Womb	womb	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
daughters	daughters	n2	daughters	daughter	0
should	should	vmd	should	shall	0
live	live	vvi	live	live	0
;	;	;	;	;	0
so	so	av	so	so	0
doth	doth	vdz	does	do	0
the	the	dt	the	the	0
World	World	n1	World	world	0
put	put	vvd	put	put	0
men	men	n2	men	man	0
upon	upon	p-acp	upon	upon	0
destroying	destroying	vvg	destroying	destroy	0
the	the	dt	the	the	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
daughters	daughters	n2	daughters	daughter	0
(	(	(	(	(	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
fashion	fashion	vvi	fashion	fashion	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
World	World	n1	World	world	0
)	)	)	)	)	0
they	they	pns32	they	they	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
live	live	vvi	live	live	0
quietly	quietly	av-jn	quietly	quiet	0
.	.	.	.	.	1
Indeed	Indeed	np1	Indeed	Indeed	0
this	this	d	this	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
