My	My	po11	My	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
BLessed	BLessed	j-vvn	BLessed	bless	0
be	be	vbi	be	be	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
Survived	Survived	vvd	Survived	survive	0
this	this	d	this	this	0
Labour	Labour	n1	Labour	labour	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
once	once	a-acp	once	once	0
feared	feared	vvd	feared	fear	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
sunk	sunk	vvn	sunk	sink	0
under	under	p-acp	under	under	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
live	live	vvb	live	live	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
my	my	po11	my	my	0
Endeavours	Endeavours	n2	Endeavours	endeavour	0
once	once	a-acp	once	once	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Service	Service	n1	Service	service	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
;	;	;	;	;	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
have	have	vhb	have	have	0
obtained	obtained	vvn	obtained	obtain	0
my	my	po11	my	my	0
wish'd	wish'd	vvd	wished	wish	0
opportunity	opportunity	n1	opportunity	opportunity	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
a	a	dt	a	a	0
Monument	Monument	n1	Monument	monument	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
deep	deep	j-jn	deep	deep	0
Sence	Sence	n1	Sense	sense	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordship's	Lordship's	n1|vbz	Lordship's	lordship|be	0
manifold	manifold	j	manifold	manifold	0
obligations	obligations	n2	obligations	obligation	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
particular	particular	j	particular	particular	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rejoyce	rejoyce	vvb	rejoice	rejoice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
acknow	acknow	vvi	acknow	acknow	0
∣	∣	sy	∣	∣	0
ledgment	ledgment	n1	ledgment	ledgment	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
ow	ow	vvb	owe	owe	0
my	my	po11	my	my	0
Publick	Publick	j	Public	public	0
Station	Station	n1	Station	station	0
,	,	,	,	,	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
and	and	cc	and	and	0
His	His	po31	His	his	0
Sacred	Sacred	j	Sacred	sacred	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship's	Lordship's	ng1	Lordship's	lordship	0
Assistance	Assistance	n1	Assistance	assistance	0
and	and	cc	and	and	0
Sole	Sole	j	Sole	sole	0
In	In	p-acp	In	in	0
∣	∣	sy	∣	∣	0
terest	terest	n1	terest	terest	0
;	;	;	;	;	0
though	though	cs	though	though	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
think	think	vvi	think	think	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
kindness	kindness	n1	kindness	kindness	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Person	Person	n1	Person	person	0
(	(	(	(	(	0
then	then	cs	then	than	0
,	,	,	,	,	0
alto	alto	fw-mi	alto	alto	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
unknown	unknown	j	unknown	unknown	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
affection	affection	n1	affection	affection	0
and	and	cc	and	and	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
grounded	grounded	vvn	grounded	ground	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
great	great	j	great	great	0
and	and	cc	and	and	0
pious	pious	j	pious	pious	0
intention	intention	n1	intention	intention	0
,	,	,	,	,	0
(	(	(	(	(	0
however	however	c-acp	however	however	0
the	the	dt	the	the	0
object	object	n1	object	object	0
be	be	vbb	be	be	0
esteem'd	esteem'd	vvn	esteemed	esteem	0
)	)	)	)	)	0
truly	truly	av-j	truly	true	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
nowned	nowned	n1	noun	noun	0
a	a	dt	a	a	0
Prelate	Prelate	n1	Prelate	prelate	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
many	many	d	many	many	0
other	other	n-jn	other	other	0
waies	waies	n2	ways	way	0
)	)	)	)	)	0
excellent	excellent	j	excellent	excellent	0
and	and	cc	and	and	0
admired	admired	j-vvn	admired	admire	0
Patriot	Patriot	n1	Patriot	patriot	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
If	If	cs	If	if	0
,	,	,	,	,	0
either	either	d	either	either	0
my	my	po11	my	my	0
former	former	j	former	former	0
attempts	attempts	n2	attempts	attempt	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
anywise	anywise	j	anywise	anywise	0
available	available	j	available	available	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
weakning	weakning	vvg	weakening	weaken	0
the	the	dt	the	the	0
Bulworks	Bulworks	n2	Bulwarks	bulwark	0
of	of	pp-f	of	of	0
Non-Conformity	Non-Conformity	n1	Non-Conformity	non-conformity	0
;	;	;	;	;	0
or	or	cc	or	or	0
my	my	po11	my	my	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
Essay	Essay	n1	Essay	essay	0
,	,	,	,	,	0
may	may	vmb	may	may	0
succeed	succeed	vvi	succeed	succeed	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
evince	evince	vvi	evince	evince	0
or	or	cc	or	or	0
confirm	confirm	vvi	confirm	confirm	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
great	great	j	great	great	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
Controversie	Controversie	n1	Controversy	controversy	0
;	;	;	;	;	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
happy	happy	j	happy	happy	0
;	;	;	;	;	0
that	that	cst	that	that	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
some	some	d	some	some	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
some	some	d	some	some	0
ad	ad	vvi	and	add	0
∣	∣	sy	∣	∣	0
vantage	vantage	n1	vantage	vantage	0
;	;	;	;	;	0
so	so	av	so	so	0
some	some	d	some	some	0
honour	honour	n1	honour	honour	0
redounds	redounds	vvz	redounds	redound	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
virtuous	virtuous	j	virtuous	virtuous	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
sign	sign	n1	sign	sign	0
,	,	,	,	,	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
Capacity	Capacity	n1	Capacity	capacity	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
,	,	,	,	,	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
have	have	vhb	have	have	0
quickned	quickned	vvn	quickened	quicken	0
and	and	cc	and	and	0
animated	animated	vvn	animated	animate	0
my	my	po11	my	my	0
Endeavours	Endeavours	n2	Endeavours	endeavour	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
Services	Services	n2	Services	service	0
.	.	.	.	.	1
I	I	pns11	I	i	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
permitted	permitted	vvn	permitted	permit	0
to	to	pc-acp	to	to	0
name	name	vvi	name	name	0
our	our	po12	our	our	0
Con	Con	vvb	Con	con	0
∣	∣	sy	∣	∣	0
troversie	troversie	n1	troversie	troversie	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
Controversie	Controversie	n1	Controversy	controversy	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
having	having	vhg	having	have	0
been	been	vbn	been	be	0
exer	exer	n1	exer	exer	0
∣	∣	sy	∣	∣	0
cised	cised	j	cised	cised	0
