To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
(	(	(	(	(	0
the	the	dt	the	the	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
(	(	(	(	(	0
the	the	dt	the	the	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
)	)	)	)	)	0
the	the	dt	the	the	0
Generality	Generality	n1	Generality	generality	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honorable	honorable	j	honourable	honourable	0
East	East	n1	East	east	0
India	India	np1	India	India	0
Corporation	Corporation	n1	Corporation	corporation	0
.	.	.	.	.	1
