THis	THis	d	THis	this	0
Sermon	Sermon	n1	Sermon	sermon	0
(	(	(	(	(	0
Worthy	Worthy	j	Worthy	worthy	0
Sirs	Sirs	n2	Sirs	sir	0
)	)	)	)	)	0
is	is	vbz	is	be	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
becauſe	becauſe	c-acp	becauſe	becauſe	0
Preached	Preached	vvn	Preached	preach	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
appoyntment	appoyntment	n1	appointment	appointment	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
publiſhed	publiſhed	vvn	publiſhed	publiſh	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
importunity	importunity	n1	importunity	importunity	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
heard	heard	vvd	herd	hear	0
it	it	pn31	it	it	0
;	;	;	;	;	0
It	It	pn31	It	it	0
was	was	vbds	was	be	0
neither	neither	dx	neither	neither	0
ability	ability	n1	ability	ability	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
choyſeneſſe	choyſeneſſe	vvi	choyſeneſſe	choyſeneſſe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
that	that	cst	that	that	0
cauſed	cauſed	vvd	cauſed	cauſ	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
ſo	ſo	av	ſo	ſo	0
well	well	av	well	well	0
among	among	p-acp	among	among	0
ſo	ſo	av	ſo	ſo	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
ſutableneſſe	ſutableneſſe	n1	suitableness	suitableness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
preſent	preſent	j	preſent	preſent	0
times	times	n2	times	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
familiar	familiar	j-jn	familiar	familiar	0
plaineneſſe	plaineneſſe	n1	plainness	plainness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
did	did	vdd	did	do	0
worke	worke	vvi	work	work	0
much	much	av-d	much	much	0
with	with	p-acp	with	with	0
ſome	ſome	d	ſome	ſome	0
;	;	;	;	;	0
(	(	(	(	(	0
Ferrum	Ferrum	fw-la	Ferrum	ferrum	0
poteſt	poteſt	fw-la	poteſt	poteſt	0
quod	quod	fw-la	quod	quod	0
Aurum	Aurum	fw-la	Aurum	aurum	0
non	non	fw-la	non	non	0
poteſt	poteſt	fw-la	poteſt	poteſt	0
)	)	)	)	)	0
Iron	Iron	n1	Iron	iron	0
may	may	vmb	may	may	0
doe	doe	vdi	do	do	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
Gold	Gold	n1	Gold	gold	0
cannot	cannot	vmbx	cannot	can	0
doe	doe	vdi	do	do	0
;	;	;	;	;	0
A	A	dt	A	a	0
blunt	blunt	j	blunt	blunt	0
Sermon	Sermon	n1	Sermon	sermon	0
may	may	vmb	may	may	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
bleſſing	bleſſing	n1	bleſſing	bleſſing	0
,	,	,	,	,	0
worke	worke	vvb	work	work	0
more	more	av-dc	more	more	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hearers	hearers	n2	hearers	hearer	0
,	,	,	,	,	0
than	than	cs	than	than	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
acute	acute	j	acute	acute	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
ſelfe	ſelfe	n1	self	self	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
other	other	j-jn	other	other	0
reaſons	reaſons	n2	reaſons	reaſon	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
becauſe	becauſe	c-acp	becauſe	becauſe	0
moſt	moſt	ds	moſt	moſt	0
ſutable	ſutable	j	suitable	suitable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
moſt	moſt	ds	moſt	moſt	0
of	of	pp-f	of	of	0
hearers	hearers	n2	hearers	hearer	0
;	;	;	;	;	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
underſtanding	underſtanding	n1	underſtanding	underſtanding	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
reach	reach	vvi	reach	reach	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
affections	affections	n2	affections	affection	0
.	.	.	.	.	1
The	The	dt	The	the	0
Authour	Authour	n1	Author	author	0
ſtudyed	ſtudyed	vvd	studied	study	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
pleaſe	pleaſe	vvi	pleaſe	pleaſe	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
profit	profit	vvi	profit	profit	0
;	;	;	;	;	0
he	he	pns31	he	he	0
prepared	prepared	vvd	prepared	prepare	0
and	and	cc	and	and	0
delivered	delivered	vvn	delivered	deliver	0
this	this	d	this	this	0
plaine	plaine	j	plain	plain	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
heart	heart	n1	heart	heart	0
bleeding	bleeding	vvg	bleeding	bleed	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preſent	preſent	j	preſent	preſent	0
troubles	troubles	n2	troubles	trouble	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Iſrael	Iſrael	np1	Iſrael	Iſrael	0
,	,	,	,	,	0
and	and	cc	and	and	0
breathing	breathing	vvg	breathing	breathe	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
common	common	j	common	common	0
good	good	j	good	good	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Sermon	Sermon	n1	Sermon	sermon	0
ſhewes	ſhewes	vvz	shows	show	0
;	;	;	;	;	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
confeſſe	confeſſe	vvi	confess	confess	0
that	that	cst	that	that	0
no	no	dx	no	no	0
importunity	importunity	n1	importunity	importunity	0
ſhould	ſhould	vmd	ſhould	ſhould	0
have	have	vhi	have	have	0
prevailed	prevailed	vvn	prevailed	prevail	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
given	given	vvn	given	give	0
it	it	pn31	it	it	0
this	this	d	this	this	0
(	(	(	(	(	0
unthought	unthought	j-vvn	unthought	unthink	0
of	of	pp-f	of	of	0
)	)	)	)	)	0
ſecond	ſecond	vvb	ſecond	ſecond	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
had	had	vhd	had	have	0
he	he	pns31	he	he	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
withall	withall	av	withal	withal	0
preſt	preſt	vvn	pressed	press	0
unto	unto	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
perſwaſion	perſwaſion	n1	persuasion	persuasion	0
,	,	,	,	,	0
that	that	cst	that	that	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
accepted	accepted	vvn	accepted	accept	0
being	being	vbg	being	be	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
may	may	vmb	may	may	0
,	,	,	,	,	0
being	being	vbg	being	be	0
publiſhed	publiſhed	vvn	publiſhed	publiſh	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
who	who	r-crq	who	who	0
heard	heard	vvd	herd	hear	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
little	little	av-j	little	little	0
is	is	vbz	is	be	0
added	added	vvn	added	add	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
place	place	n1	place	place	0
or	or	cc	or	or	0
two	two	crd	two	two	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
prepared	prepared	vvn	prepared	prepare	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
,	,	,	,	,	0
was	was	vbds	was	be	0
omitted	omitted	vvn	omitted	omit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
delivery	delivery	n1	delivery	delivery	0
;	;	;	;	;	0
What	What	q-crq	What	what	0
ever	ever	av	ever	ever	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
(	(	(	(	(	0
Worthy	Worthy	j	Worthy	worthy	0
Sirs	Sirs	n2	Sirs	sir	0
)	)	)	)	)	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
pleaſe	pleaſe	vvb	pleaſe	pleaſe	0
to	to	pc-acp	to	to	0
owne	owne	vvi	own	own	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
ſo	ſo	av	ſo	ſo	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
deſires	deſires	vvz	deſires	deſire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reckoned	reckoned	vvn	reckoned	reckon	0
among	among	p-acp	among	among	0
thoſe	thoſe	d	thoſe	thoſe	0
who	who	r-crq	who	who	0
reſpect	reſpect	n1	reſpect	reſpect	0
and	and	cc	and	and	0
honour	honour	vvi	honour	honour	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
pray	pray	vvb	pray	pray	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
acknowledgeth	acknowledgeth	vvz	acknowledgeth	acknowledge	0
himſelfe	himſelfe	px31	himself	himself	0
your	your	po22	your	your	0
debtor	debtor	n1	debtor	debtor	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
favours	favours	n2	favours	favour	0
,	,	,	,	,	0
and	and	cc	and	and	0
reſts	reſts	vvz	reſts	reſt	1
