THe	THe	dt	THe	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greateſt	greateſt	js	greateſt	greateſt	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
greateſt	greateſt	js	greateſt	greateſt	0
Difficulty	Difficulty	n1	Difficulty	difficulty	0
,	,	,	,	,	0
that	that	cst	that	that	0
lies	lies	vvz	lies	lie	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
throughout	throughout	p-acp	throughout	throughout	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
:	:	:	:	:	0
Obad.	Obad.	np1	Obad.	Obad.	0
ver	ver	fw-la	ver	ver	0
.	.	.	.	.	0
laſt	laſt	ord	laſt	laſt	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
heal	heal	vvi	heal	heal	0
the	the	dt	the	the	0
wounds	wounds	n2	wounds	wound	0
of	of	pp-f	of	of	0
Zion	Zion	np1	Zion	Zion	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
her	her	po31	her	her	0
inſtrumentall	inſtrumentall	j	instrumental	instrumental	0
Saviours	Saviours	ng1	Saviours	saviour	0
;	;	;	;	;	0
the	the	dt	the	the	0
Repairers	Repairers	n2	Repairers	repairer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
breach	breach	n1	breach	breach	0
,	,	,	,	,	0
Eſay	Eſay	np1	Eſay	Eſay	0
58.	58.	crd	58.	58.	0
12.	12.	crd	12.	12.	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Reſtorers	Reſtorers	n2	Reſtorers	reſtorer	0
of	of	pp-f	of	of	0
paths	paths	n2	paths	path	0
to	to	pc-acp	to	to	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
old	old	j	old	old	0
waſts	waſts	vvz	waſts	waſt	0
,	,	,	,	,	0
and	and	cc	and	and	0
lay	lay	vvd	lay	lie	0
the	the	dt	the	the	0
foundations	foundations	n2	foundations	foundation	0
,	,	,	,	,	0
even	even	av	even	even	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
generations	generations	n2	generations	generation	0
;	;	;	;	;	0
To	To	pc-acp	To	to	0
ſave	ſave	vvi	ſave	ſave	0
and	and	cc	and	and	0
reſcue	reſcue	vvi	reſcue	reſcue	0
two	two	crd	two	two	0
