MY	MY	po11	MY	my	0
LORD	LORD	n1	LORD	lord	0
,	,	,	,	,	0
IN	IN	p-acp	IN	in	0
a	a	dt	a	a	0
discourse	discourse	n1	discourse	discourse	0
lately	lately	av-j	lately	late	0
written	written	vvn	written	write	0
concerning	concerning	vvg	concerning	concern	0
Puritans	Puritans	np2	Puritans	Puritan	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
occasion	occasion	n1	occasion	occasion	0
offred	offred	vvd	offered	offer	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
my	my	po11	my	my	0
opinion	opinion	n1	opinion	opinion	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
right	right	n-jn	right	right	0
of	of	pp-f	of	of	0
Episcopacie	Episcopacie	n1	Episcopacy	episcopacy	0
.	.	.	.	.	1
Those	Those	d	Those	those	0
reasons	reasons	n2	reasons	reason	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
then	then	av	then	then	0
urged	urged	vvn	urged	urge	0
,	,	,	,	,	0
seemed	seemed	vvd	seemed	seem	0
weak	weak	j	weak	weak	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
discouragement	discouragement	n1	discouragement	discouragement	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
desert	desert	vvi	desert	desert	0
so	so	av	so	so	0
well	well	av	well	well	0
a	a	dt	a	a	0
seeming	seeming	j-vvg	seeming	seem	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
resigne	resigne	vvi	resign	resign	0
my	my	po11	my	my	0
judgement	judgement	n1	judgement	judgement	0
presently	presently	av-j	presently	present	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
meere	meere	j	mere	mere	0
discouragement	discouragement	n1	discouragement	discouragement	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
since	since	a-acp	since	since	0
summoned	summoned	vvn	summoned	summon	0
up	up	a-acp	up	up	0
some	some	d	some	some	0
more	more	dc	more	more	0
deep	deep	j-jn	deep	deep	0
and	and	cc	and	and	0
retired	retired	j-vvn	retired	retire	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
gain	gain	vvi	gain	gain	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
just	just	j	just	just	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
retract	retract	vvi	retract	retract	0
my	my	po11	my	my	0
error	error	n1	error	error	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
cleere	cleere	vvi	clear	clear	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
persist	persist	vvi	persist	persist	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
assurance	assurance	n1	assurance	assurance	0
.	.	.	.	.	1
The	The	dt	The	the	0
question	question	n1	question	question	0
of	of	pp-f	of	of	0
Episcopacie	Episcopacie	n1	Episcopacy	episcopacy	0
,	,	,	,	,	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
now	now	av	now	now	0
rightly	rightly	av-jn	rightly	right	0
stated	stated	vvn	stated	state	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
deceived	deceived	vvn	deceived	deceive	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
let	let	vvn	let	let	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
light	light	n1	light	light	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
judicious	judicious	j	judicious	judicious	0
men	men	n2	men	man	0
will	will	vmb	will	will	0
now	now	av	now	now	0
more	more	av-dc	more	more	0
easily	easily	av-j	easily	easy	0
ransack	ransack	vvi	ransack	ransack	0
the	the	dt	the	the	0
profundity	profundity	n1	profundity	profundity	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Certainly	Certainly	av-j	Certainly	certain	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
difficulty	difficulty	n1	difficulty	difficulty	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
moment	moment	n1	moment	moment	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
times	times	n2	times	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
any	any	d	any	any	0
confidence	confidence	n1	confidence	confidence	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
own	own	d	own	own	0
wit	wit	n1	wit	wit	0
that	that	cst	that	that	0
first	first	ord	first	first	0
ingaged	ingaged	vvd	engaged	engage	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
candor	candor	n1	candor	candour	0
,	,	,	,	,	0
and	and	cc	and	and	0
freedome	freedome	n1	freedom	freedom	0
from	from	p-acp	from	from	0
private	private	j	private	private	0
respects	respects	n2	respects	respect	0
.	.	.	.	.	1
No	No	dx	No	no	0
man	man	n1	man	man	0
living	living	vvg	living	live	0
,	,	,	,	,	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
,	,	,	,	,	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
dispassionate	dispassionate	j	dispassionate	dispassionate	0
,	,	,	,	,	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
disinteressed	disinteressed	vvn	disinteressed	disinteress	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
case	case	n1	case	case	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
heat	heat	n1	heat	heat	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
own	own	d	own	own	0
mind	mind	n1	mind	mind	0
could	could	vmd	could	can	0
never	never	av-x	never	never	0
yet	yet	av	yet	yet	0
thrust	thrust	vvd	thrust	thrust	0
me	me	pno11	me	i	0
into	into	p-acp	into	into	0
any	any	d	any	any	0
faction	faction	n1	faction	faction	0
,	,	,	,	,	0
or	or	cc	or	or	0
make	make	vvb	make	make	0
me	me	pno11	me	i	0
turbulent	turbulent	j	turbulent	turbulent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
has	has	vhz	has	have	0
any	any	d	any	any	0
impression	impression	n1	impression	impression	0
from	from	p-acp	from	from	0
without	without	p-acp	without	without	0
either	either	d	either	either	0
by	by	p-acp	by	by	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
gain	gain	n1	gain	gain	0
,	,	,	,	,	0
or	or	cc	or	or	0
fear	fear	n1	fear	fear	0
of	of	pp-f	of	of	0
dammage	dammage	n1	damage	damage	0
stirr'd	stirr'd	vvn	stirred	stir	0
up	up	p-acp	up	up	0
sleeping	sleeping	j-vvg	sleeping	sleep	0
passion	passion	n1	passion	passion	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
I	I	pns11	I	i	0
rather	rather	av-c	rather	rather	0
wish	wish	vvb	wish	wish	0
well	well	av	well	well	0
then	then	av	then	then	0
ill	ill	av-jn	ill	ill	0
to	to	p-acp	to	to	0
Episcopacie	Episcopacie	n1	Episcopacy	episcopacy	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
antient	antient	j	ancient	ancient	0
a	a	dt	a	a	0
government	government	n1	government	government	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
own	own	d	own	own	0
interest	interest	n1	interest	interest	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
more	more	dc	more	more	0
friendship	friendship	n1	friendship	friendship	0
then	then	cs	then	than	0
enmity	enmity	n1	enmity	enmity	0
from	from	p-acp	from	from	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
certain	certain	j	certain	certain	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
simple	simple	j	simple	simple	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
bias	bias	n1	bias	bias	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
actions	actions	n2	actions	action	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Presbyteriall	Presbyteriall	j-jn	Presbyterial	presbyterial	0
discipline	discipline	n1	discipline	discipline	0
also	also	av	also	also	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
so	so	av	so	so	0
laid	laid	vvn	laid	lay	0
open	open	j	open	open	0
my	my	po11	my	my	0
opinion	opinion	n1	opinion	opinion	0
concerning	concerning	vvg	concerning	concern	0
that	that	cst	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
erred	erred	vvn	erred	err	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
the	the	dt	the	the	0
world	world	n1	world	world	0
can	can	vmb	can	can	0
charge	charge	vvi	charge	charge	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
else	else	av	else	else	0
but	but	cc-acp	but	but	0
error	error	n1	error	error	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
all	all	d	all	all	0
men	men	n2	men	man	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
treated	treated	vvn	treated	treat	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
been	been	vbi	been	be	0
as	as	a-acp	as	as	0
unswayde	unswayde	vvn	unswayde	unswayde	0
by	by	p-acp	by	by	0
private	private	j	private	private	0
interests	interests	n2	interests	interest	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
this	this	d	this	this	0
controversie	controversie	n1	controversy	controversy	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
bin	bin	vbn	been	be	0
so	so	av	so	so	0
long	long	av-j	long	long	0
protracted	protracted	vvn	protracted	protract	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
knowes	knowes	vvz	knows	know	0
well	well	av	well	well	0
,	,	,	,	,	0
that	that	cst	that	that	0
scarce	scarce	av-j	scarce	scarce	0
any	any	d	any	any	0
but	but	cc-acp	but	but	0
Bishops	Bishops	n2	Bishops	bishop	0
have	have	vhb	have	have	0
maintained	maintained	vvn	maintained	maintain	0
Bishops	Bishops	n2	Bishops	bishop	0
hitherto	hitherto	av	hitherto	hitherto	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
scarce	scarce	av-j	scarce	scarce	0
any	any	d	any	any	0
opposed	opposed	vvd	opposed	oppose	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
some	some	d	some	some	0
opposition	opposition	n1	opposition	opposition	0
