Noble	Noble	j	Noble	noble	0
Senatours	Senatours	n2	Senators	senator	0
,	,	,	,	,	0
NOt	NOt	xx	NOt	not	0
like	like	av-j	like	like	0
Araunah	Araunah	np1	Araunah	Araunah	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Story	Story	n1	Story	story	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
King	King	n1	King	king	0
in	in	p-acp	in	in	0
Spirituall	Spirituall	j	Spiritual	spiritual	0
Things	Things	n2	Things	thing	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Widow	Widow	n1	Widow	widow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
Poore	Poore	j	Poor	poor	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Riches	Riches	n2	Riches	riches	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
too	too	av	too	too	0
much	much	av-d	much	much	0
a	a	dt	a	a	0
Widow	Widow	n1	Widow	widow	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
absence	absence	n1	absence	absence	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Spouse	Spouse	n1	Spouse	spouse	0
,	,	,	,	,	0
my	my	po11	my	my	0
Soule	Soule	n1	Soul	soul	0
hath	hath	vhz	hath	have	0
offered	offered	vvn	offered	offer	0
from	from	p-acp	from	from	0
her	her	po31	her	her	0
Penury	Penury	n1	Penury	penury	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Treasury	Treasury	n1	Treasury	treasury	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Steward	Steward	n1	Steward	steward	0
,	,	,	,	,	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
endeavoured	endeavoured	vvn	endeavoured	endeavour	0
