Reverend	Reverend	n-jn	Reverend	reverend	0
and	and	cc	and	and	0
Deare	Deare	j-jn	Dear	dear	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
right	right	j-jn	right	right	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
Church	Church	n1	Church	church	0
Government	Government	n1	Government	government	0
being	being	vbg	being	be	0
more	more	av-dc	more	more	0
ſearched	ſearched	vvn	ſearched	ſearch	0
into	into	p-acp	into	into	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
time	time	n1	time	time	0
then	then	av	then	then	0
formerly	formerly	av-j	formerly	former	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
ſelf	ſelf	n1	ſelf	ſelf	0
amongſt	amongſt	p-acp	amongſt	amongſt	0
others	others	n2-jn	others	other	0
having	having	vhg	having	have	0
written	written	vvn	written	write	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
governing	governing	n-vvg	governing	govern	0
power	power	n1	power	power	0
,	,	,	,	,	0
or	or	cc	or	or	0
juriſdiction	juriſdiction	n1	juriſdiction	juriſdiction	0
of	of	pp-f	of	of	0
Synods	Synods	n2	Synods	synod	0
,	,	,	,	,	0
over	over	p-acp	over	over	0
particular	particular	j	particular	particular	0
Churches	Churches	n2	Churches	church	0
:	:	:	:	:	0
We	We	pns12	We	we	0
therfore	therfore	av	therefore	therefore	0
knowing	knowing	vvg	knowing	know	0
our	our	po12	our	our	0
ſelves	ſelves	n2	ſelves	ſelve	0
bound	bound	vvn	bound	bind	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
try	try	vvi	try	try	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
hold	hold	vvb	hold	hold	0
faſt	faſt	av-j	faſt	faſt	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
good	good	j	good	good	0
,	,	,	,	,	0
have	have	vhb	have	have	0
conſidered	conſidered	vvn	conſidered	conſider	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
holpen	holpen	vvn	helped	help	0
us	us	pno12	us	we	0
;	;	;	;	;	0
thoſe	thoſe	d	thoſe	thoſe	0
Arguments	Arguments	n2	Arguments	argument	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
againſt	againſt	p-acp	againſt	againſt	0
the	the	dt	the	the	0
Indepency	Indepency	n1	Indepency	indepency	0
of	of	pp-f	of	of	0
Churches	Churches	n2	Churches	church	0
;	;	;	;	;	0
and	and	cc	and	and	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
ſatisfied	ſatisfied	vvn	ſatisfied	ſatisfy	0
therewith	therewith	av	therewith	therewith	0
,	,	,	,	,	0
your	your	po22	your	your	0
Book	Book	n1	Book	book	0
being	being	vbg	being	be	0
publiſhed	publiſhed	vvn	publiſhed	publiſh	0
in	in	p-acp	in	in	0
Print	Print	n1	Print	print	0
;	;	;	;	;	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
therfore	therfore	av	therefore	therefore	0
thought	thought	vvn	thought	think	0
meet	meet	j	meet	meet	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
fort	fort	n1	fort	fort	0
to	to	pc-acp	to	to	0
publiſh	publiſh	vvi	publiſh	publiſh	0
our	our	po12	our	our	0
Anſwer	Anſwer	n1	Anſwer	anſwer	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
ſhew	ſhew	vvi	show	show	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
ſelf	ſelf	n1	ſelf	ſelf	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
yet	yet	av	yet	yet	0
hinders	hinders	vvz	hinders	hinder	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
your	your	po22	your	your	0
Arguments	Arguments	n2	Arguments	argument	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
convincing	convincing	vvg	convincing	convince	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
attempt	attempt	n1	attempt	attempt	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
bin	bin	vbn	been	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
encouraged	encouraged	vvn	encouraged	encourage	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
profeſſion	profeſſion	n1	profeſſion	profeſſion	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
believe	believe	vvi	believe	believe	0
)	)	)	)	)	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
aimed	aimed	vvn	aimed	aim	0
at	at	p-acp	at	at	0
verity	verity	n1	verity	verity	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
victory	victory	n1	victory	victory	0
;	;	;	;	;	0
wherof	wherof	c-crq	whereof	whereof	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
rather	rather	av	rather	rather	0
perſwaded	perſwaded	vvd	persuaded	persuade	0
,	,	,	,	,	0
becauſe	becauſe	c-acp	becauſe	becauſe	0
we	we	pns12	we	we	0
do	do	vdb	do	do	0
perceive	perceive	vvi	perceive	perceive	0
your	your	po22	your	your	0
whole	whole	j-jn	whole	whole	0
diſcourſe	diſcourſe	n1	diſcourſe	diſcourſe	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
carried	carried	vvn	carried	carry	0
along	along	a-acp	along	along	0
without	without	p-acp	without	without	0
paſsion	paſsion	n1	paſsion	paſsion	0
and	and	cc	and	and	0
bitterneſſe	bitterneſſe	n1	bitterness	bitterness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
of	of	pp-f	of	of	0
meekneſſe	meekneſſe	n1	meekness	meekness	0
and	and	cc	and	and	0
love	love	n1	love	love	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
alſo	alſo	av	alſo	alſo	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
before	before	p-acp	before	before	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
juſt	juſt	j	juſt	juſt	0
commendation	commendation	n1	commendation	commendation	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
that	that	cst	that	that	0
gives	gives	vvz	gives	give	0
you	you	pn22	you	you	0
ſuch	ſuch	d	ſuch	ſuch	0
an	an	dt	and	a	0
heart	heart	n1	heart	heart	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
hope	hope	n1	hope	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
ſith	ſith	c-acp	ſith	ſith	0
you	you	pn22	you	you	0
profeſse	profeſse	vvb	profess	profess	0
to	to	pc-acp	to	to	0
aim	aim	vvi	aim	aim	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
diſpute	diſpute	vvi	diſpute	diſpute	0
with	with	p-acp	with	with	0
ſuch	ſuch	d	ſuch	ſuch	0
a	a	dt	a	a	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
meant	meant	vvd	meant	mean	0
ſo	ſo	av	ſo	ſo	0
indeed	indeed	av	indeed	indeed	0
;	;	;	;	;	0
that	that	cst	that	that	0
therfore	therfore	av	therefore	therefore	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
unacceptable	unacceptable	j	unacceptable	unacceptable	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
weakneſse	weakneſse	n1	weakness	weakness	0
be	be	vbi	be	be	0
diſcovered	diſcovered	vvn	diſcovered	diſcover	0
in	in	p-acp	in	in	0
thoſe	thoſe	d	thoſe	thoſe	0
grounds	grounds	n2	grounds	ground	0
wheron	wheron	c-crq	whereon	whereon	0
you	you	pn22	you	you	0
build	build	vvb	built	build	0
this	this	d	this	this	0
perſwaſion	perſwaſion	n1	persuasion	persuasion	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
preſent	preſent	j	preſent	preſent	0
Question	Question	n1	Question	question	0
,	,	,	,	,	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
doth	doth	vdz	does	do	0
ſtand	ſtand	vvi	ſtand	ſtand	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
ſide	ſide	n1	ſide	ſide	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Book	Book	n1	Book	book	0
doth	doth	vdz	does	do	0
breathe	breathe	vvi	breathe	breathe	0
forth	forth	av	forth	forth	0
a	a	dt	a	a	0
ſpirit	ſpirit	n1	ſpirit	ſpirit	0
of	of	pp-f	of	of	0
meekneſse	meekneſse	n1	meekness	meekness	0
,	,	,	,	,	0
ingenuity	ingenuity	n1	ingenuity	ingenuity	0
and	and	cc	and	and	0
love	love	n1	love	love	0
;	;	;	;	;	0
ſo	ſo	av	ſo	ſo	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
aimed	aimed	vvn	aimed	aim	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
like	like	j	like	like	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Anſwer	Anſwer	n1	Anſwer	anſwer	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
and	and	cc	and	and	0
now	now	av	now	now	0
publiſhed	publiſhed	vvn	publiſhed	publiſh	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
truths	truths	ng1	truths	truth	0
ſake	ſake	n1	ſake	ſake	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
help	help	n1	help	help	0
of	of	pp-f	of	of	0
thoſe	thoſe	d	thoſe	thoſe	0
that	that	cst	that	that	0
cannot	cannot	vmbx	cannot	can	0
attaine	attaine	vvi	attain	attain	0
unto	unto	p-acp	unto	unto	0
larger	larger	jc	larger	large	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
learned	learned	j	learned	learned	0
Treatiſes	Treatiſes	n2	Treatiſes	treatiſe	0
about	about	p-acp	about	about	0
this	this	d	this	this	0
Subject	Subject	j-jn	Subject	subject	0
;	;	;	;	;	0
So	So	av	So	so	0
in	in	p-acp	in	in	0
ſpeciall	ſpeciall	j	special	special	0
manner	manner	n1	manner	manner	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
ſelf	ſelf	n1	ſelf	ſelf	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
deare	deare	j-jn	deer	dear	0
Country	Country	n1	Country	country	0
men	men	n2	men	man	0
&	&	cc	&	and	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
Lancaſhire	Lancaſhire	np1	Lancaſhire	Lancaſhire	0
,	,	,	,	,	0
ſo	ſo	av	ſo	ſo	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Pariſh	Pariſh	n1	Pariſh	pariſh	0
of	of	pp-f	of	of	0
Winwick	Winwick	np1	Winwick	Winwick	0
,	,	,	,	,	0
wherin	wherin	c-crq	wherein	wherein	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
was	was	vbds	was	be	0
born	born	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
