RIGHT	RIGHT	av-jn	RIGHT	right	0
HONORABLE	HONORABLE	j	HONOURABLE	honourable	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
Jeſus	Jeſus	np1	Jeſus	Jeſus	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
the	the	dt	the	the	0
wonderful	wonderful	j	wondered	wonderful	0
,	,	,	,	,	0
the	the	dt	the	the	0
Iſa	Iſa	np1	Iſa	Iſa	0
.	.	.	.	.	1
9.	9.	crd	9.	9	0
6.	6.	crd	6.	6.	1
Counſellor	Counſellor	n1	Counſellor	counſellor	0
,	,	,	,	,	0
the	the	dt	the	the	0
mighty	mighty	j	mighty	mighty	0
God	God	np1	God	God	0
driveth	driveth	vvz	drives	drive	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
great	great	j	great	great	0
State-deſign	State-deſign	j	State-deſign	state-deſign	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
theſe	theſe	d	theſe	theſe	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
to	to	pc-acp	to	to	0
ſave	ſave	vvi	ſave	ſave	0
an	an	dt	and	a	0
afflicted	afflicted	j-vvn	afflicted	afflict	0
people	people	n1	people	people	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
dye	dye	vvi	die	dye	0
his	his	po31	his	his	0
Garments	Garments	n2	Garments	garment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
blood	blood	n1	blood	blood	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Enemies	Enemies	n2	Enemies	enemy	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
amongſt	amongſt	p-acp	amongſt	amongſt	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
cauſe	cauſe	vvi	cauſe	cauſe	0
the	the	dt	the	the	0
wildernes	wildernes	n1	wilderness	wilderness	0
bloſſome	bloſſome	vvb	blossom	blossom	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Roſe	Roſe	n1	Roſe	roſe	0
,	,	,	,	,	0
that	that	cst	that	that	0
theIſa	theIſa	np1	theIſa	theIſa	0
.	.	.	.	.	1
35	35	crd	35	35	0
1	1	crd	1	1	0
,	,	,	,	,	0
2.	2.	crd	2.	2.	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Lebanon	Lebanon	np1	Lebanon	Lebanon	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
Carmel	Carmel	np1	Carmel	Carmel	0
and	and	cc	and	and	0
Sharon	Sharon	np1	Sharon	Sharon	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
spiritual	spiritual	j	spiritual	spiritual	0
manner	manner	n1	manner	manner	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
Zion	Zion	np1	Zion	Zion	0
;	;	;	;	;	0
So	So	av	So	so	0
he	he	pns31	he	he	0
ſtill	ſtill	av	ſtill	ſtill	0
